         26684135 function calls (26579068 primitive calls) in 110.696 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.017    0.017 __init__.py:157(<module>)
  192/160    0.005    0.000    0.017    0.000 LabelItem.py:73(resizeEvent)
    10024    0.016    0.000    0.016    0.000 PlotDataItem.py:173(boundingRect)
        1    0.004    0.004    0.016    0.016 interpolate.py:2(<module>)
    60727    0.016    0.000    0.016    0.000 GraphicsItem.py:527(viewRangeChanged)
    10015    0.016    0.000    0.016    0.000 PlotDataItem.py:176(setAlpha)
    10015    0.016    0.000    0.016    0.000 PlotDataItem.py:193(setLogMode)
    90105    0.016    0.000    0.016    0.000 GraphicsItem.py:509(viewChanged)
    40107    0.016    0.000    0.016    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.016    0.016 __init__.py:128(<module>)
     9984    0.016    0.000    0.016    0.000 weakref.py:284(remove)
        1    0.000    0.000    0.016    0.016 wisdom.py:19(<module>)
        1    0.000    0.000    0.015    0.015 tokenize.py:23(<module>)
        1    0.001    0.001    0.015    0.015 lib.py:19(<module>)
        1    0.000    0.000    0.015    0.015 type_check.py:3(<module>)
    20098    0.014    0.000    0.014    0.000 {show}
    30376    0.014    0.000    0.014    0.000 {built-in method __new__ of type object at 0x92d540}
     4993    0.014    0.000    0.014    0.000 {sorted}
      960    0.013    0.000    0.013    0.000 {built-in method children}
    20094    0.013    0.000    0.013    0.000 {built-in method zValue}
  256/192    0.003    0.000    0.013    0.000 LabelItem.py:116(updateMin)
     1344    0.007    0.000    0.013    0.000 WidgetGroup.py:250(readWidget)
      588    0.009    0.000    0.013    0.000 AxisItem.py:118(resizeEvent)
    29950    0.013    0.000    0.013    0.000 {built-in method left}
    10015    0.013    0.000    0.013    0.000 PlotDataItem.py:202(setPointMode)
    10062    0.010    0.000    0.012    0.000 UserDict.py:4(__init__)
    29950    0.012    0.000    0.012    0.000 {built-in method bottom}
        1    0.000    0.000    0.012    0.012 UIGraphicsItem.py:1(<module>)
        1    0.000    0.000    0.012    0.012 GraphicsObject.py:1(<module>)
    30078    0.012    0.000    0.012    0.000 {built-in method right}
